make;fuel_type;num_of_doors;body_style;drive_wheels;engine_location;wheel_base;length;width;height;curb_weight;engine_type;num_of_cylinders;engine_size;fuel_system;compression_ratio;horsepower;city_mpg;highway_mpg;price;sales
jaguar;gas;four;sedan;rwd;front;113;199.6;69.6;52.8;4066;dohc;six;258;mpfi;8.1;176;15;19;35550;421
jaguar;gas;four;sedan;rwd;front;113;199.6;69.6;52.8;4066;dohc;six;258;mpfi;8.1;176;15;19;32250;733
mercedes-benz;gas;two;hardtop;rwd;front;112;199.2;72;55.4;3715;ohcv;eight;304;mpfi;8;184;14;16;45400;591
mercedes-benz;gas;four;sedan;rwd;front;120.9;208.1;71.7;56.7;3900;ohcv;eight;308;mpfi;8;184;14;16;40960;366
chevrolet;gas;two;hatchback;fwd;front;88.4;141.1;60.3;53.2;1488;l;three;61;2bbl;9.5;48;47;53;5151;209
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2385;rotor;two;70;4bbl;9.4;101;17;23;13645;134
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2380;rotor;two;70;4bbl;9.4;101;17;23;10945;22
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2380;rotor;two;70;4bbl;9.4;101;17;23;11845;595
jaguar;gas;two;sedan;rwd;front;102;191.7;70.6;47.8;3950;ohcv;twelve;326;mpfi;11.5;262;13;17;36000;455
honda;gas;two;hatchback;fwd;front;93.7;150;64;52.6;1837;ohc;four;79;1bbl;10.1;60;38;42;5399;65
mazda;gas;two;hatchback;rwd;front;95.3;169;65.7;49.6;2500;rotor;two;80;mpfi;9.4;135;16;23;15645;121
dodge;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;1876;ohc;four;90;2bbl;9.4;68;31;38;6377;198
plymouth;gas;four;hatchback;fwd;front;93.7;157.3;63.8;50.6;1967;ohc;four;90;2bbl;9.4;68;31;38;6229;426
dodge;gas;four;sedan;fwd;front;93.7;157.3;63.8;50.6;1989;ohc;four;90;2bbl;9.4;68;31;38;7609;40
dodge;gas;four;hatchback;fwd;front;93.7;157.3;63.8;50.6;1967;ohc;four;90;2bbl;9.4;68;31;38;6229;37
dodge;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;1876;ohc;four;90;2bbl;9.41;68;37;41;5572;746
dodge;gas;four;sedan;fwd;front;93.7;157.3;63.8;50.6;1989;ohc;four;90;2bbl;9.4;68;31;38;6692;139
plymouth;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;1918;ohc;four;90;2bbl;9.4;68;37;41;5572;574
chevrolet;gas;four;sedan;fwd;front;94.5;158.8;63.6;52;1909;ohc;four;90;2bbl;9.6;70;38;43;6575;609
plymouth;gas;four;sedan;fwd;front;93.7;167.3;63.8;50.8;1989;ohc;four;90;2bbl;9.4;68;31;38;6692;595
isuzu;gas;four;sedan;fwd;front;94.5;155.9;63.6;52;1909;ohc;four;90;2bbl;9.6;70;38;43;0;332
chevrolet;gas;two;hatchback;fwd;front;94.5;155.9;63.6;52;1874;ohc;four;90;2bbl;9.6;70;38;43;6295;315
isuzu;gas;two;sedan;fwd;front;94.5;155.9;63.6;52;1874;ohc;four;90;2bbl;9.6;70;38;43;0;60
mazda;gas;two;hatchback;fwd;front;93.1;159.1;64.2;54.1;1890;ohc;four;91;2bbl;9;68;30;31;5195;413
mazda;gas;two;hatchback;fwd;front;93.1;159.1;64.2;54.1;1905;ohc;four;91;2bbl;9;68;31;38;6795;798
mazda;gas;two;hatchback;fwd;front;93.1;159.1;64.2;54.1;1900;ohc;four;91;2bbl;9;68;31;38;6095;663
mazda;gas;four;sedan;fwd;front;93.1;166.8;64.2;54.1;1945;ohc;four;91;2bbl;9;68;31;38;6695;474
mazda;gas;four;sedan;fwd;front;93.1;166.8;64.2;54.1;1950;ohc;four;91;2bbl;9;68;31;38;7395;565
honda;gas;two;hatchback;fwd;front;93.7;150;64;52.6;1940;ohc;four;92;1bbl;9.2;76;30;34;6529;771
honda;gas;two;hatchback;fwd;front;93.7;150;64;52.6;1956;ohc;four;92;1bbl;9.2;76;30;34;7129;62
honda;gas;two;hatchback;fwd;front;86.6;144.6;63.9;50.8;1819;ohc;four;92;1bbl;9.2;76;31;38;6855;200
honda;gas;two;hatchback;fwd;front;86.6;144.6;63.9;50.8;1713;ohc;four;92;1bbl;9.6;58;49;54;6479;727
honda;gas;four;wagon;fwd;front;96.5;157.1;63.9;58.3;2024;ohc;four;92;1bbl;9.2;76;30;34;7295;176
toyota;gas;four;wagon;fwd;front;95.7;169.7;63.6;59.1;2280;ohc;four;92;2bbl;9;62;31;37;6918;398
toyota;gas;four;wagon;4wd;front;95.7;169.7;63.6;59.1;2290;ohc;four;92;2bbl;9;62;27;32;7898;20
toyota;gas;four;wagon;4wd;front;95.7;169.7;63.6;59.1;3110;ohc;four;92;2bbl;9;62;27;32;8778;447
toyota;gas;two;hatchback;fwd;front;95.7;158.7;63.6;54.5;2040;ohc;four;92;2bbl;9;62;31;38;6338;164
toyota;gas;four;hatchback;fwd;front;95.7;158.7;63.6;54.5;2015;ohc;four;92;2bbl;9;62;31;38;6488;795
toyota;gas;two;hatchback;fwd;front;95.7;158.7;63.6;54.5;1985;ohc;four;92;2bbl;9;62;35;39;5348;364
mitsubishi;gas;two;hatchback;fwd;front;93.7;157.3;64.4;50.8;1944;ohc;four;92;2bbl;9.4;68;31;38;6189;790
mitsubishi;gas;two;hatchback;fwd;front;93.7;157.3;64.4;50.8;1918;ohc;four;92;2bbl;9.4;68;37;41;5389;120
mitsubishi;gas;two;hatchback;fwd;front;93.7;157.3;64.4;50.8;2004;ohc;four;92;2bbl;9.4;68;31;38;6669;375
honda;gas;four;sedan;fwd;front;96.5;163.4;64;54.5;2010;ohc;four;92;1bbl;9.2;76;30;34;7295;66
nissan;gas;two;hatchback;fwd;front;94.5;165.6;63.8;53.3;2028;ohc;four;97;2bbl;9.4;69;31;37;7799;63
nissan;gas;four;wagon;fwd;front;94.5;170.2;63.8;53.5;2024;ohc;four;97;2bbl;9.4;69;31;37;7349;387
nissan;gas;four;wagon;fwd;front;94.5;170.2;63.8;53.5;2037;ohc;four;97;2bbl;9.4;69;31;37;7999;732
volkswagen;diesel;two;sedan;fwd;front;97.3;171.7;65.5;55.7;2261;ohc;four;97;idi;23;52;37;46;7775;769
volkswagen;diesel;four;sedan;fwd;front;97.3;171.7;65.5;55.7;2319;ohc;four;97;idi;23;68;37;42;9495;514
volkswagen;diesel;four;sedan;fwd;front;97.3;171.7;65.5;55.7;2264;ohc;four;97;idi;23;52;37;46;7995;427
volkswagen;diesel;four;sedan;fwd;front;100.4;180.2;66.9;55.1;2579;ohc;four;97;idi;23;68;33;38;13845;171
nissan;gas;two;sedan;fwd;front;94.5;165.3;63.8;54.5;1889;ohc;four;97;2bbl;9.4;69;31;37;5499;613
nissan;gas;two;sedan;fwd;front;94.5;165.3;63.8;54.5;1951;ohc;four;97;2bbl;9.4;69;31;37;7299;111
nissan;gas;four;sedan;fwd;front;94.5;165.3;63.8;54.5;1938;ohc;four;97;2bbl;9.4;69;31;37;6849;511
nissan;gas;four;sedan;fwd;front;94.5;165.3;63.8;54.5;1971;ohc;four;97;2bbl;9.4;69;31;37;7499;487
nissan;gas;two;sedan;fwd;front;94.5;165.3;63.8;54.5;1918;ohc;four;97;2bbl;9.4;69;31;37;6649;426
nissan;gas;two;hardtop;fwd;front;95.1;162.4;63.8;53.3;2008;ohc;four;97;2bbl;9.4;69;31;37;8249;470
subaru;gas;two;hatchback;fwd;front;93.7;156.9;63.4;53.7;2050;ohcf;four;97;2bbl;9;69;31;36;5118;382
toyota;gas;two;hatchback;rwd;front;94.5;168.7;64;52.6;2204;ohc;four;98;2bbl;9;70;29;34;8238;698
toyota;gas;two;sedan;rwd;front;94.5;168.7;64;52.6;2169;ohc;four;98;2bbl;9;70;29;34;8058;33
toyota;gas;two;sedan;rwd;front;94.5;168.7;64;52.6;2265;dohc;four;98;mpfi;9.4;112;26;29;9298;694
toyota;gas;two;hatchback;rwd;front;94.5;168.7;64;52.6;2300;dohc;four;98;mpfi;9.4;112;26;29;9538;226
plymouth;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;2128;ohc;four;98;spdi;7.6;102;24;30;7957;499
dodge;gas;four;sedan;fwd;front;93.7;157.3;63.8;50.6;2191;ohc;four;98;mpfi;7.6;102;24;30;8558;291
dodge;gas;two;hatchback;fwd;front;93.7;157.3;63.8;50.8;2128;ohc;four;98;mpfi;7.6;102;24;30;7957;573
mitsubishi;gas;two;hatchback;fwd;front;93;157.3;63.8;50.8;2145;ohc;four;98;spdi;7.6;102;24;30;7689;546
toyota;gas;four;sedan;fwd;front;95.7;166.3;64.4;52.8;2140;ohc;four;98;2bbl;9;70;28;34;9258;555
toyota;gas;four;hatchback;fwd;front;95.7;166.3;64.4;52.8;2122;ohc;four;98;2bbl;9;70;28;34;8358;724
toyota;gas;four;sedan;fwd;front;95.7;166.3;64.4;53;2081;ohc;four;98;2bbl;9;70;30;37;6938;236
toyota;gas;four;hatchback;fwd;front;95.7;166.3;64.4;52.8;2109;ohc;four;98;2bbl;9;70;30;37;7198;36
toyota;gas;four;sedan;fwd;front;95.7;166.3;64.4;53;2094;ohc;four;98;2bbl;9;70;38;47;7738;336
plymouth;gas;four;sedan;fwd;front;93.7;167.3;63.8;50.8;2191;ohc;four;98;2bbl;9.4;68;31;38;7609;556
nissan;diesel;two;sedan;fwd;front;94.5;165.3;63.8;54.5;2017;ohc;four;103;idi;21.9;55;45;50;7099;534
subaru;gas;four;sedan;fwd;front;97.2;172;65.4;52.5;2190;ohcf;four;108;2bbl;9.5;82;28;33;7775;135
subaru;gas;four;sedan;fwd;front;97.2;172;65.4;52.5;2340;ohcf;four;108;mpfi;9;94;26;32;9960;154
subaru;gas;four;sedan;4wd;front;97;172;65.4;54.3;2385;ohcf;four;108;2bbl;9;82;24;25;9233;152
subaru;gas;four;sedan;fwd;front;97.2;172;65.4;52.5;2145;ohcf;four;108;2bbl;9.5;82;32;37;7126;266
subaru;gas;four;sedan;4wd;front;97;172;65.4;54.3;2510;ohcf;four;108;mpfi;7.7;111;24;29;11259;39
subaru;gas;four;wagon;fwd;front;97;173.5;65.4;53;2290;ohcf;four;108;2bbl;9;82;28;32;7463;23
subaru;gas;four;wagon;fwd;front;97;173.5;65.4;53;2455;ohcf;four;108;mpfi;9;94;25;31;10198;347
subaru;gas;four;wagon;4wd;front;96.9;173.6;65.4;54.9;2650;ohcf;four;108;mpfi;7.7;111;23;23;11694;738
subaru;gas;four;wagon;4wd;front;96.9;173.6;65.4;54.9;2420;ohcf;four;108;2bbl;9;82;23;29;8013;130
bmw;gas;two;sedan;rwd;front;101.2;176.8;64.8;54.3;2395;ohc;four;108;mpfi;8.8;101;23;29;16430;14
bmw;gas;four;sedan;rwd;front;101.2;176.8;64.8;54.3;2395;ohc;four;108;mpfi;8.8;101;23;29;16925;781
subaru;gas;two;hatchback;4wd;front;93.3;157.3;63.8;55.7;2240;ohcf;four;108;2bbl;8.7;73;26;31;7603;433
subaru;gas;two;hatchback;fwd;front;93.7;157.9;63.6;53.7;2120;ohcf;four;108;2bbl;8.7;73;26;31;7053;697
volkswagen;gas;four;wagon;fwd;front;100.4;183.1;66.9;55.1;2563;ohc;four;109;mpfi;9;88;25;31;12290;89
volkswagen;gas;four;sedan;fwd;front;97.3;171.7;65.5;55.7;2275;ohc;four;109;mpfi;9;85;27;34;8495;308
volkswagen;gas;four;sedan;fwd;front;97.3;171.7;65.5;55.7;2300;ohc;four;109;mpfi;10;100;26;32;9995;488
volkswagen;gas;two;sedan;fwd;front;97.3;171.7;65.5;55.7;2209;ohc;four;109;mpfi;9;85;27;34;7975;135
volkswagen;gas;four;sedan;fwd;front;97.3;171.7;65.5;55.7;2212;ohc;four;109;mpfi;9;85;27;34;8195;386
volkswagen;gas;two;hatchback;fwd;front;94.5;165.7;64;51.4;2221;ohc;four;109;mpfi;8.5;90;24;29;9980;488
volkswagen;gas;two;convertible;fwd;front;94.5;159.3;64.2;55.6;2254;ohc;four;109;mpfi;8.5;90;24;29;11595;165
mitsubishi;gas;two;hatchback;fwd;front;96.3;173;65.4;49.4;2370;ohc;four;110;spdi;7.5;116;23;30;9959;473
honda;gas;two;hatchback;fwd;front;96.5;167.5;65.2;53.3;2236;ohc;four;110;1bbl;9;86;27;33;7895;355
honda;gas;two;hatchback;fwd;front;96.5;167.5;65.2;53.3;2289;ohc;four;110;1bbl;9;86;27;33;9095;771
honda;gas;two;sedan;fwd;front;96.5;169.1;66;51;2293;ohc;four;110;2bbl;9.1;100;25;31;10345;15
toyota;diesel;four;sedan;fwd;front;102.4;175.6;66.5;54.9;2480;ohc;four;110;idi;22.5;73;30;33;10698;197
toyota;diesel;four;hatchback;fwd;front;95.7;166.3;64.4;52.8;2275;ohc;four;110;idi;22.5;56;38;47;7788;457
toyota;diesel;four;sedan;fwd;front;95.7;166.3;64.4;53;2275;ohc;four;110;idi;22.5;56;34;36;7898;65
mitsubishi;gas;four;sedan;fwd;front;96.3;172.4;65.4;51.6;2403;ohc;four;110;spdi;7.5;116;23;30;9279;743
mitsubishi;gas;four;sedan;fwd;front;96.3;172.4;65.4;51.6;2403;ohc;four;110;spdi;7.5;116;23;30;9279;169
honda;gas;four;sedan;fwd;front;96.5;175.4;65.2;54.1;2465;ohc;four;110;mpfi;9;101;24;28;12945;306
honda;gas;four;sedan;fwd;front;96.5;175.4;62.5;54.1;2372;ohc;four;110;1bbl;9;86;27;33;10295;131
honda;gas;four;sedan;fwd;front;96.5;175.4;65.2;54.1;2304;ohc;four;110;1bbl;9;86;27;33;8845;688
isuzu;gas;four;sedan;rwd;front;94.3;170.7;61.8;53.5;2337;ohc;four;111;2bbl;8.5;78;24;29;6785;221
isuzu;gas;two;hatchback;rwd;front;96;172.6;65.2;51.4;2734;ohc;four;119;spfi;9.2;90;24;29;11048;745
peugot;gas;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3075;l;four;120;mpfi;8.4;97;19;24;16630;700
peugot;gas;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3075;l;four;120;mpfi;8.4;95;19;24;15580;707
peugot;gas;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3020;l;four;120;mpfi;8.4;97;19;24;11900;610
nissan;gas;four;hatchback;fwd;front;97.2;173.4;65.2;54.7;2324;ohc;four;120;2bbl;8.5;97;27;34;8949;521
nissan;gas;four;sedan;fwd;front;97.2;173.4;65.2;54.7;2302;ohc;four;120;2bbl;8.5;97;27;34;9549;109
peugot;gas;four;wagon;rwd;front;114.2;198.9;68.4;58.7;3230;l;four;120;mpfi;8.4;97;19;24;12440;72
peugot;gas;four;wagon;rwd;front;114.2;198.9;68.4;56.7;3285;l;four;120;mpfi;8.4;95;19;24;16695;265
saab;gas;four;sedan;fwd;front;99.1;186.6;66.5;56.1;2758;ohc;four;121;mpfi;9.3;110;21;28;15510;66
saab;gas;two;hatchback;fwd;front;99.1;186.6;66.5;56.1;2707;ohc;four;121;mpfi;9.3;110;21;28;15040;173
saab;gas;four;sedan;fwd;front;99.1;186.6;66.5;56.1;2695;ohc;four;121;mpfi;9.3;110;21;28;12170;19
saab;gas;two;hatchback;fwd;front;99.1;186.6;66.5;56.1;2808;dohc;four;121;mpfi;9;160;19;26;18150;292
saab;gas;two;hatchback;fwd;front;99.1;186.6;66.5;56.1;2658;ohc;four;121;mpfi;9.31;110;21;28;11850;428
saab;gas;four;sedan;fwd;front;99.1;186.6;66.5;56.1;2847;dohc;four;121;mpfi;9;160;19;26;18620;156
mitsubishi;gas;two;hatchback;fwd;front;96.3;173;65.4;49.4;2328;ohc;four;122;2bbl;8.5;88;25;32;8499;51
plymouth;gas;four;wagon;fwd;front;103.3;174.6;64.6;59.8;2535;ohc;four;122;2bbl;8.5;88;24;30;8921;262
dodge;gas;four;wagon;fwd;front;103.3;174.6;64.6;59.8;2535;ohc;four;122;2bbl;8.5;88;24;30;8921;773
toyota;gas;four;sedan;fwd;front;102.4;175.6;66.5;54.9;2414;ohc;four;122;mpfi;8.7;92;27;32;10898;121
toyota;gas;four;sedan;fwd;front;102.4;175.6;66.5;54.9;2326;ohc;four;122;mpfi;8.7;92;29;34;8948;578
toyota;gas;four;hatchback;fwd;front;102.4;175.6;66.5;53.9;2458;ohc;four;122;mpfi;8.7;92;27;32;11248;7
toyota;gas;four;hatchback;fwd;front;102.4;175.6;66.5;53.9;2414;ohc;four;122;mpfi;8.7;92;27;32;9988;249
mazda;gas;four;sedan;fwd;front;98.8;177.8;66.5;55.5;2410;ohc;four;122;2bbl;8.6;84;26;32;10245;495
mazda;diesel;four;sedan;fwd;front;98.8;177.8;66.5;55.5;2443;ohc;four;122;idi;22.7;64;36;42;10795;487
mazda;gas;two;hatchback;fwd;front;98.8;177.8;66.5;53.7;2385;ohc;four;122;2bbl;8.6;84;26;32;10595;388
mazda;gas;two;hatchback;fwd;front;98.8;177.8;66.5;53.7;2385;ohc;four;122;2bbl;8.6;84;26;32;8845;673
mazda;gas;four;hatchback;fwd;front;98.8;177.8;66.5;55.5;2425;ohc;four;122;2bbl;8.6;84;26;32;11245;713
mazda;gas;four;sedan;fwd;front;98.8;177.8;66.5;55.5;2410;ohc;four;122;2bbl;8.6;84;26;32;8495;33
mitsubishi;gas;four;sedan;fwd;front;96.3;172.4;65.4;51.6;2405;ohc;four;122;2bbl;8.5;88;25;32;8189;45
mitsubishi;gas;four;sedan;fwd;front;96.3;172.4;65.4;51.6;2365;ohc;four;122;2bbl;8.5;88;25;32;6989;121
alfa-romero;gas;two;convertible;rwd;front;88.6;168.8;64.1;48.8;2548;dohc;four;130;mpfi;9;111;21;27;13495;637
alfa-romero;gas;two;convertible;rwd;front;88.6;168.8;64.1;48.8;2548;dohc;four;130;mpfi;9;111;21;27;16500;372
volvo;gas;four;sedan;rwd;front;104.3;188.8;67.2;56.2;3045;ohc;four;130;mpfi;7.5;162;17;22;18420;79
volvo;gas;four;wagon;rwd;front;104.3;188.8;67.2;57.5;3157;ohc;four;130;mpfi;7.5;162;17;22;18950;766
audi;gas;four;sedan;fwd;front;105.8;192.7;71.4;55.9;3086;ohc;five;131;mpfi;8.3;140;17;20;23875;594
audi;gas;two;hatchback;4wd;front;99.5;178.2;67.9;52;3053;ohc;five;131;mpfi;7;160;16;22;0;427
mazda;diesel;four;sedan;rwd;front;104.9;175;66.1;54.4;2700;ohc;four;134;idi;22;72;31;39;18344;109
peugot;gas;four;sedan;rwd;front;108;186.7;68.3;56;3130;l;four;134;mpfi;7;142;18;24;18150;161
audi;gas;four;sedan;4wd;front;99.4;176.6;66.4;54.3;2824;ohc;five;136;mpfi;8;115;18;22;17450;639
audi;gas;four;sedan;fwd;front;105.8;192.7;71.4;55.7;2844;ohc;five;136;mpfi;8.5;110;19;25;17710;735
audi;gas;four;wagon;fwd;front;105.8;192.7;71.4;55.7;2954;ohc;five;136;mpfi;8.5;110;19;25;18920;246
volkswagen;gas;four;sedan;fwd;front;100.4;180.2;66.9;55.1;2661;ohc;five;136;mpfi;8.5;110;19;24;13295;694
audi;gas;two;sedan;fwd;front;99.8;177.3;66.3;53.1;2507;ohc;five;136;mpfi;8.5;110;19;25;15250;724
mazda;gas;four;sedan;rwd;front;104.9;175;66.1;54.4;2670;ohc;four;140;mpfi;8;120;19;27;18280;36
mercury;gas;two;hatchback;rwd;front;102.7;178.4;68;54.8;2910;ohc;four;140;mpfi;8;175;19;24;16503;543
volvo;gas;four;sedan;rwd;front;109.1;188.8;68.9;55.5;2952;ohc;four;141;mpfi;9.5;114;23;28;16845;698
volvo;gas;four;sedan;rwd;front;104.3;188.8;67.2;56.2;2935;ohc;four;141;mpfi;9.5;114;24;28;15985;793
volvo;gas;four;wagon;rwd;front;104.3;188.8;67.2;57.5;3034;ohc;four;141;mpfi;9.5;114;23;28;13415;324
volvo;gas;four;sedan;rwd;front;104.3;188.8;67.2;56.2;2912;ohc;four;141;mpfi;9.5;114;23;28;12940;242
volvo;gas;four;sedan;rwd;front;109.1;188.8;68.9;55.5;3062;ohc;four;141;mpfi;9.5;114;19;25;22625;479
volvo;gas;four;wagon;rwd;front;104.3;188.8;67.2;57.5;3042;ohc;four;141;mpfi;9.5;114;24;28;16515;320
volvo;gas;four;sedan;rwd;front;109.1;188.8;68.8;55.5;3049;ohc;four;141;mpfi;8.7;160;19;25;19045;59
volvo;diesel;four;sedan;rwd;front;109.1;188.8;68.9;55.5;3217;ohc;six;145;idi;23;106;26;27;22470;225
toyota;gas;two;convertible;rwd;front;98.4;176.2;65.6;53;2975;ohc;four;146;mpfi;9.3;116;24;30;17669;595
toyota;gas;two;hardtop;rwd;front;98.4;176.2;65.6;52;2540;ohc;four;146;mpfi;9.3;116;24;30;8449;510
toyota;gas;two;hatchback;rwd;front;98.4;176.2;65.6;52;2551;ohc;four;146;mpfi;9.3;116;24;30;9989;282
toyota;gas;two;hatchback;rwd;front;98.4;176.2;65.6;52;2714;ohc;four;146;mpfi;9.3;116;24;30;11549;798
toyota;gas;two;hardtop;rwd;front;98.4;176.2;65.6;52;2679;ohc;four;146;mpfi;9.3;116;24;30;11199;359
toyota;gas;two;hardtop;rwd;front;98.4;176.2;65.6;52;2536;ohc;four;146;mpfi;9.3;116;24;30;9639;612
porsche;gas;two;hatchback;rwd;front;94.5;168.9;68.3;50.2;2778;ohc;four;151;mpfi;9.5;143;19;27;22018;424
peugot;diesel;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3252;l;four;152;idi;21;95;28;33;17950;472
peugot;diesel;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3252;l;four;152;idi;21;95;28;33;16900;413
peugot;diesel;four;sedan;rwd;front;107.9;186.7;68.4;56.7;3197;l;four;152;idi;21;95;28;33;13200;200
alfa-romero;gas;two;hatchback;rwd;front;94.5;171.2;65.5;52.4;2823;ohcv;six;152;mpfi;9;154;19;26;16500;485
peugot;diesel;four;wagon;rwd;front;114.2;198.9;68.4;58.7;3430;l;four;152;idi;21;95;25;25;13860;363
peugot;diesel;four;wagon;rwd;front;114.2;198.9;68.4;58.7;3485;l;four;152;idi;21;95;25;25;17075;747
mitsubishi;gas;two;hatchback;fwd;front;95.9;173.2;66.3;50.2;2921;ohc;four;156;spdi;7;145;19;24;14869;590
mitsubishi;gas;two;hatchback;fwd;front;95.9;173.2;66.3;50.2;2833;ohc;four;156;spdi;7;145;19;24;12629;774
mitsubishi;gas;two;hatchback;fwd;front;95.9;173.2;66.3;50.2;2926;ohc;four;156;spdi;7;145;19;24;14489;321
plymouth;gas;two;hatchback;rwd;front;95.9;173.2;66.3;50.2;2818;ohc;four;156;spdi;7;145;19;24;12764;566
dodge;gas;two;hatchback;fwd;front;95.9;173.2;66.3;50.2;2811;ohc;four;156;mfi;7;145;19;24;12964;466
toyota;gas;four;wagon;rwd;front;104.5;187.8;66.5;54.1;3151;dohc;six;161;mpfi;9.2;156;19;24;15750;777
bmw;gas;four;sedan;rwd;front;103.5;189;66.9;55.7;3055;ohc;six;164;mpfi;9;121;20;25;24565;196
bmw;gas;four;sedan;rwd;front;101.2;176.8;64.8;54.3;2765;ohc;six;164;mpfi;9;121;21;28;21105;72
bmw;gas;two;sedan;rwd;front;101.2;176.8;64.8;54.3;2710;ohc;six;164;mpfi;9;121;21;28;20970;93
toyota;gas;two;hatchback;rwd;front;102.9;183.5;67.7;52;3016;dohc;six;171;mpfi;9.3;161;19;24;15998;165
toyota;gas;two;hatchback;rwd;front;102.9;183.5;67.7;52;2976;dohc;six;171;mpfi;9.3;161;20;24;16558;569
toyota;gas;four;sedan;rwd;front;104.5;187.8;66.5;54.1;3131;dohc;six;171;mpfi;9.2;156;20;24;15690;101
volvo;gas;four;sedan;rwd;front;109.1;188.8;68.9;55.5;3012;ohcv;six;173;mpfi;8.8;134;18;23;21485;723
nissan;gas;two;hatchback;rwd;front;99.2;178.5;67.9;49.7;3139;ohcv;six;181;mpfi;9;160;19;25;18399;19
nissan;gas;four;sedan;fwd;front;100.4;184.6;66.5;55.1;3060;ohcv;six;181;mpfi;9;152;19;25;13499;597
nissan;gas;four;wagon;fwd;front;100.4;184.6;66.5;56.1;3296;ohcv;six;181;mpfi;9;152;17;22;14399;272
nissan;gas;two;hatchback;rwd;front;91.3;170.7;67.9;49.7;3071;ohcv;six;181;mpfi;9;160;19;25;17199;620
nissan;gas;two;hatchback;rwd;front;91.3;170.7;67.9;49.7;3139;ohcv;six;181;mpfi;7.8;200;17;23;19699;738
nissan;gas;four;sedan;fwd;front;100.4;181.7;66.5;55.1;3095;ohcv;six;181;mpfi;9;152;17;22;13499;760
mercedes-benz;diesel;two;hardtop;rwd;front;106.7;187.5;70.3;54.9;3495;ohc;five;183;idi;21.5;123;22;25;28176;623
mercedes-benz;diesel;four;sedan;rwd;front;115.6;202.6;71.7;56.3;3770;ohc;five;183;idi;21.5;123;22;25;31600;659
mercedes-benz;diesel;four;sedan;rwd;front;110;190.9;70.3;56.5;3515;ohc;five;183;idi;21.5;123;22;25;25552;593
mercedes-benz;diesel;four;wagon;rwd;front;110;190.9;70.3;58.7;3750;ohc;five;183;idi;21.5;123;22;25;28248;332
porsche;gas;two;convertible;rwd;rear;89.5;168.9;65;51.6;2800;ohcf;six;194;mpfi;9.5;207;17;25;37028;176
porsche;gas;two;hardtop;rwd;rear;89.5;168.9;65;51.6;2756;ohcf;six;194;mpfi;9.5;207;17;25;32528;19
porsche;gas;two;hardtop;rwd;rear;89.5;168.9;65;51.6;2756;ohcf;six;194;mpfi;9.5;207;17;25;34028;643
porsche;gas;two;hatchback;rwd;front;98.4;175.7;72.3;50.5;3366;dohcv;eight;203;mpfi;10;288;17;28;0;201
bmw;gas;four;sedan;rwd;front;103.5;189;66.9;55.7;3230;ohc;six;209;mpfi;8;182;16;22;30760;433
bmw;gas;four;sedan;rwd;front;110;197;70.9;56.3;3505;ohc;six;209;mpfi;8;182;15;20;36880;643
bmw;gas;two;sedan;rwd;front;103.5;193.8;67.9;53.7;3380;ohc;six;209;mpfi;8;182;16;22;41315;218
mercedes-benz;gas;four;sedan;rwd;front;115.6;202.6;71.7;56.5;3740;ohcv;eight;234;mpfi;8.3;155;16;18;34184;227
mercedes-benz;gas;two;convertible;rwd;front;96.6;180.3;70.5;50.8;3685;ohcv;eight;234;mpfi;8.3;155;16;18;35056;379
